-----------------------------------New Session-----------------------------------
2021-04-09 15:37:01,503 | INFO | discord.client | logging in using static token
2021-04-09 17:43:02,513 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:03,836 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:04,768 | WARNING | discord.http | We are being rate limited. Retrying in 3.11 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:43:05,175 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:06,545 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:07,870 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:09,179 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:09,895 | WARNING | discord.http | We are being rate limited. Retrying in 3.22 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:43:10,579 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:11,937 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:13,257 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:14,558 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:15,200 | WARNING | discord.http | We are being rate limited. Retrying in 3.17 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:43:15,853 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:17,139 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:18,429 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:19,771 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:20,362 | WARNING | discord.http | We are being rate limited. Retrying in 3.23 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:43:20,406 | INFO | discord | Trying to stop spammer by: <@430677550600028161>
2021-04-09 17:43:21,053 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:22,372 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:23,783 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:25,073 | INFO | discord | Spam to id: <@!430677550600028161>
